zpid,price,street,city,state,zipcode,beds,baths,area,latitude,longitude,home_type,tax_assessed_value,lot_area_value,days_on_zillow
28041318,850000,2011 Widdicomb Ct,Houston,TX,77008,3.0,2.0,2132.0,29.80525,-95.439415,SINGLE_FAMILY,701723.0,9339.264,11
80517520,519990,2003 Roy St,Houston,TX,77007,3.0,4.0,2572.0,29.778177,-95.41264,TOWNHOUSE,445938.0,2500.0,29
84055460,195000,6120 Maybell St,Houston,TX,77091,3.0,2.0,1291.0,29.853046,-95.4177,SINGLE_FAMILY,132358.0,7740.612,123
80527589,385000,16827 Newlight Bend Dr,Houston,TX,77095,3.0,2.0,1879.0,29.911089,-95.66736,SINGLE_FAMILY,327130.0,7531.524,21
28419904,137000,2120 El Paseo St APT 1403,Houston,TX,77054,2.0,1.0,964.0,29.688602,-95.39161,CONDO,117893.0,3.3312,25
28478710,65000,7402 Alabonson Rd UNIT 203,Houston,TX,77088,1.0,1.0,663.0,29.877434,-95.48332,CONDO,32608.0,3.0924,45
27783315,487900,1006 Nadine St,Houston,TX,77009,3.0,2.0,1250.0,29.806965,-95.38477,SINGLE_FAMILY,397455.0,5000.688,35
125756633,384900,6903 Ibex Ln,Houston,TX,77049,4.0,4.0,3873.0,29.823437,-95.177444,SINGLE_FAMILY,432097.0,6851.988,49
58670108,343525,11835 Elkington Ct,Houston,TX,77071,4.0,4.0,2593.0,29.648916,-95.52925,SINGLE_FAMILY,314504.0,4996.332,11
97619471,339000,6513 Goldspier St,Houston,TX,77091,3.0,3.0,1885.0,29.858034,-95.449936,SINGLE_FAMILY,72480.0,8102.16,122
28491834,299950,10234 Tablerock Dr,Houston,TX,77064,4.0,3.0,2010.0,29.919294,-95.57334,SINGLE_FAMILY,278368.0,6298.776,19
123238214,235000,2710 Hullsmith Dr APT 604,Houston,TX,77063,2.0,2.0,1501.0,29.735628,-95.507614,TOWNHOUSE,256033.0,2.0503,8
84044036,1174000,304 Knox St,Houston,TX,77007,4.0,4.0,3320.0,29.765173,-95.42066,SINGLE_FAMILY,1176269.0,5749.92,53
28207974,239900,5763 Easthampton Dr UNIT B,Houston,TX,77039,3.0,3.0,2040.0,29.901728,-95.30556,TOWNHOUSE,196613.0,1860.0,144
28381407,116000,2824 Briarhurst Dr APT 30,Houston,TX,77057,1.0,1.0,706.0,29.735067,-95.493095,CONDO,95409.0,2.1594,8
28255385,264900,10102 Sagecanyon Dr,Houston,TX,77089,4.0,3.0,2556.0,29.597338,-95.24264,SINGLE_FAMILY,288766.0,6965.244,121
68425734,174900,9200 Westheimer Rd APT 1210,Houston,TX,77063,1.0,2.0,858.0,29.738504,-95.525955,TOWNHOUSE,172453.0,7.3659,28
27875667,475000,412 Eleanor St,Houston,TX,77009,3.0,2.0,1376.0,29.81214,-95.36613,SINGLE_FAMILY,494286.0,5301.252,21
